"ReprgrammingCluster","MohammedCellType","SharedGene"
"8","E4.5 Epiblast","Gpa33"
"8","E4.5 Epiblast","Stmn2"
"8","E4.5 Epiblast","Grhl2"
"8","E4.5 Epiblast","Rdm1"
"8","E4.5 Epiblast","Fgf4"
"8","E5.5 Epiblast","none"
"8","E6.5 Epiblast1","Zic5"
"8","E6.5 Epiblast1","Trim71"
"8","E6.5 Epiblast1","Zic2"
"8","E6.5 Epiblast2","Wfdc2"
"8","E6.5 Primitive streak","Trh"
"8","E6.5 Primitive streak","Fxyd6"
"8","E6.5 Primitive streak","Ifitm1"
"8","E6.5 Primitive streak","Dll3"
"8","E6.5 Visceral endoderm","Slc2a3"
"8","E6.5 Visceral endoderm","Aqp11"
"8","E6.5 Visceral endoderm","Slc39a8"
"8","E6.5 Visceral endoderm","Ezr"
"8","E6.5 Visceral endoderm","Peg10"
"8","E6.5 Visceral endoderm","Podxl"
"8","E6.5 Visceral endoderm","Dpp4"
"8","E6.5 Visceral endoderm","Gcat"
"8","E6.5 Visceral endoderm","Krt18"
"8","E6.5 Visceral endoderm","Folr1"
"8","E6.5 Visceral endoderm","Slc9a3r1"
"8","E6.5 Visceral endoderm","Sigirr"
"8","E6.5 Visceral endoderm","Cd59a"
"8","E6.5 Visceral endoderm","Dsp"
"8","E6.5 Visceral endoderm","Id1"
"8","E6.5 Visceral endoderm","Sft2d2"
"8","E6.5 Visceral endoderm","Tspan12"
"8","E6.5 Visceral endoderm","Arhgap18"
"8","E6.5 Visceral endoderm","Ddc"
"8","E6.5 Visceral endoderm","Cldn6"
"8","E6.5 Visceral endoderm","Dsg2"
"8","E6.5 Visceral endoderm","Plekha6"
"8","E6.5 Visceral endoderm","Lad1"
"8","E6.5 Visceral endoderm","Aass"
"8","E6.5 Visceral endoderm","Cryz"
"8","E6.5 Visceral endoderm","Krt8"
"8","E6.5 Visceral endoderm","Car2"
"9","E3.5","Ndfip1"
"9","E3.5","Ckb"
"9","E3.5","Nudt4"
"9","E3.5","Map1lc3a"
"9","E3.5","Arpc1b"
"9","E3.5","Pros1"
"9","E3.5","Fam129a"
"9","E3.5","Spag9"
"9","E3.5","Bach1"
"9","E3.5","Nedd4l"
"9","E3.5","H2-K1"
"9","E4.5 PrE","Sparc"
"9","E4.5 PrE","Col4a1"
"9","E4.5 PrE","Col4a2"
"9","E4.5 PrE","Myo5b"
"9","E4.5 PrE","Hspg2"
"9","E4.5 PrE","Atp2b1"
"9","E4.5 PrE","Creb3l2"
"9","E4.5 PrE","Lmna"
"9","E4.5 PrE","Dnajb11"
"9","E4.5 PrE","Klf6"
"9","E4.5 PrE","Rabac1"
"9","E4.5 PrE","Ppic"
"9","E4.5 PrE","Chn2"
"9","E4.5 PrE","Anxa2"
"9","E4.5 PrE","Txndc12"
"9","E4.5 Epiblast","Pdgfa"
"9","E4.5 Epiblast","Sox2"
"9","E4.5 Epiblast","Fmn2"
"9","E4.5 Epiblast","Tubb2b"
"9","E4.5 Epiblast","Adam19"
"9","E5.5 Epiblast","Cthrc1"
"9","E5.5 Epiblast","Col18a1"
"9","E5.5 Epiblast","Bst2"
"9","E6.5 Epiblast1","Dpysl2"
"9","E6.5 Epiblast1","Sox4"
"9","E6.5 Epiblast1","Schip1"
"9","E6.5 Epiblast1","Msi2"
"9","E6.5 Epiblast2","Fgf5"
"9","E6.5 Primitive streak","Pcbp4"
"9","E6.5 Primitive streak","Greb1"
"9","E6.5 Primitive streak","Cdh2"
"9","E6.5 Primitive streak","Ptms"
"9","E6.5 Primitive streak","Mtch1"
"9","E6.5 Primitive streak","Tubb4a"
"9","E6.5 Primitive streak","Dbn1"
"9","E6.5 Primitive streak","Eid1"
"9","E6.5 Visceral endoderm","Ezr"
"9","E6.5 Visceral endoderm","Pcgf5"
"9","E6.5 Visceral endoderm","Slc22a23"
"9","E6.5 Visceral endoderm","Clic1"
"9","E6.5 Visceral endoderm","Cd59a"
"9","E6.5 Visceral endoderm","Gnb4"
"9","E6.5 Visceral endoderm","Arhgap18"
"9","E6.5 Visceral endoderm","S100a16"
"9","E6.5 Visceral endoderm","S100a13"
"9","E6.5 Visceral endoderm","Sulf2"
"9","E6.5 Visceral endoderm","Ddah2"
"9","E6.5 Visceral endoderm","Cxxc5"
"9","E6.5 Visceral endoderm","Myo18a"
"9","E6.5 Visceral endoderm","S100a10"
"9","E6.5 Visceral endoderm","Peg3"
"9","E6.5 Visceral endoderm","Sfrp1"
"10","E3.5","Ckb"
"10","E3.5","1500009L16Rik"
"10","E3.5","Jam2"
"10","E3.5","H2afy"
"10","E3.5","Csnk1e"
"10","E3.5","Nuak1"
"10","E4.5 PrE","Lrp2"
"10","E4.5 PrE","Glipr2"
"10","E4.5 PrE","Fgfr3"
"10","E4.5 Epiblast","Sox2"
"10","E4.5 Epiblast","Tubb2b"
"10","E5.5 Epiblast","Col18a1"
"10","E5.5 Epiblast","Ptprf"
"10","E6.5 Epiblast1","Dpysl2"
"10","E6.5 Epiblast1","Sox4"
"10","E6.5 Epiblast1","Trim71"
"10","E6.5 Epiblast1","Msi2"
"10","E6.5 Epiblast1","Ptbp2"
"10","E6.5 Epiblast2","Myh10"
"10","E6.5 Primitive streak","Nt5dc2"
"10","E6.5 Primitive streak","Pcbp4"
"10","E6.5 Primitive streak","Marcksl1"
"10","E6.5 Primitive streak","Fxyd6"
"10","E6.5 Primitive streak","Asb4"
"10","E6.5 Primitive streak","Basp1"
"10","E6.5 Primitive streak","Greb1"
"10","E6.5 Primitive streak","Ptov1"
"10","E6.5 Primitive streak","Cnn2"
"10","E6.5 Primitive streak","Prtg"
"10","E6.5 Primitive streak","Cdh2"
"10","E6.5 Primitive streak","Dcakd"
"10","E6.5 Primitive streak","H2afy2"
"10","E6.5 Primitive streak","Ptms"
"10","E6.5 Primitive streak","Grb10"
"10","E6.5 Primitive streak","Mtch1"
"10","E6.5 Primitive streak","Pbx1"
"10","E6.5 Primitive streak","Nnat"
"10","E6.5 Primitive streak","Dbn1"
"10","E6.5 Primitive streak","Dll1"
"10","E6.5 Primitive streak","Cdk2ap1"
"10","E6.5 Primitive streak","Rgma"
"10","E6.5 Primitive streak","Ctxn1"
"10","E6.5 Primitive streak","Cd24a"
"10","E6.5 Primitive streak","Cited2"
"10","E6.5 Primitive streak","Rab6b"
"10","E6.5 Primitive streak","Ccnjl"
"10","E6.5 Primitive streak","Dpysl5"
"10","E6.5 Primitive streak","Eid1"
"10","E6.5 Primitive streak","Meis2"
"10","E6.5 Primitive streak","Mest"
"10","E6.5 Primitive streak","Prex1"
"10","E6.5 Primitive streak","Chd7"
"10","E6.5 Primitive streak","Mfap2"
"10","E6.5 Visceral endoderm","H19"
"10","E6.5 Visceral endoderm","Cotl1"
"10","E6.5 Visceral endoderm","Folr1"
"10","E6.5 Visceral endoderm","Tspan13"
"10","E6.5 Visceral endoderm","Sgce"
"10","E6.5 Visceral endoderm","Id1"
"10","E6.5 Visceral endoderm","Id2"
"10","E6.5 Visceral endoderm","Atp1b1"
"10","E6.5 Visceral endoderm","Acsl3"
"10","E6.5 Visceral endoderm","Ddah2"
"10","E6.5 Visceral endoderm","Cxxc5"
"10","E6.5 Visceral endoderm","Foxa2"
"10","E6.5 Visceral endoderm","Peg3"
"11","E3.5","Sfn"
"11","E3.5","Cd9"
"11","E3.5","Tex19.1"
"11","E3.5","Pecam1"
"11","E3.5","Tfap2c"
"11","E3.5","Zfp42"
"11","E3.5","Slc38a4"
"11","E3.5","Lgals9"
"11","E3.5","Spint1"
"11","E3.5","Elf3"
"11","E4.5 PrE","Bend5"
"11","E4.5 PrE","Nostrin"
"11","E4.5 PrE","Hspb1"
"11","E4.5 PrE","Tfpi"
"11","E4.5 PrE","Tspan9"
"11","E4.5 PrE","Ankrd33b"
"11","E4.5 PrE","Klf6"
"11","E4.5 PrE","Mpzl2"
"11","E4.5 Epiblast","Pdgfa"
"11","E4.5 Epiblast","Rpl39l"
"11","E4.5 Epiblast","Grhl2"
"11","E5.5 Epiblast","none"
"11","E6.5 Epiblast1","none"
"11","E6.5 Epiblast2","none"
"11","E6.5 Primitive streak","Phlda2"
"11","E6.5 Primitive streak","Basp1"
"11","E6.5 Primitive streak","Irx3"
"11","E6.5 Primitive streak","Cited2"
"11","E6.5 Visceral endoderm","H19"
"11","E6.5 Visceral endoderm","Ezr"
"11","E6.5 Visceral endoderm","Peg10"
"11","E6.5 Visceral endoderm","Tmem37"
"11","E6.5 Visceral endoderm","Igf2"
"11","E6.5 Visceral endoderm","Prss12"
"11","E6.5 Visceral endoderm","Prss8"
"11","E6.5 Visceral endoderm","Krt18"
"11","E6.5 Visceral endoderm","Dsp"
"11","E6.5 Visceral endoderm","Sri"
"11","E6.5 Visceral endoderm","Tmem125"
"11","E6.5 Visceral endoderm","Atp1b1"
"11","E6.5 Visceral endoderm","Plekhh1"
"11","E6.5 Visceral endoderm","Lcp1"
"11","E6.5 Visceral endoderm","Dsg2"
"11","E6.5 Visceral endoderm","Krt8"
"11","E6.5 Visceral endoderm","Car2"
"11","E6.5 Visceral endoderm","Peg3"
